player,z_scores
"Johnstone
CRYGKP",0.02
"Petrović
CHEGKP",0.09
"Edouard
CRYFWD",0.27
"Welbeck
BHAFWD",0.27
"Coufal
WHUDEF",0.4
"Garner
EVEMID",0.45
"Dunk
BHADEF",0.49
"Doku
MCIMID",0.7
"A.Becker
LIVGKP",0.9
"Dalot
MUNDEF",0.99
"Højlund
MUNFWD",1.02
"Martinez
AVLGKP",1.08
"Souček
WHUMID",1.11
"Virgil
LIVDEF",1.13
"Gvardiol
MCIDEF",1.27
"Darwin
LIVFWD",1.47
"Leno
FULGKP",1.49
"Kudus
WHUMID",1.58
"Ward-Prowse
WHUMID",1.79
"Gabriel
ARSDEF",1.86
"Rodrigo
MCIMID",2.08
"Saliba
ARSDEF",2.2
"Mateta
CRYFWD",2.22
"Rice
ARSMID",2.22
"Havertz
ARSFWD",2.56
"Gordon
NEWMID",2.63
"Son
TOTMID",3.31
"Saka
ARSMID",3.6
"Foden
MCIMID",3.69
"Palmer
CHEMID",4.01
